Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Preffered Majors
Scholarship3,1263,2024-07-14,2018-05-22, Info, Major
Scholarship9,2228,2022-02-15,2018-09-01, Info, Major
Scholarship15,2241,2017-02-23,2018-02-15, Info, Major
Scholarship29,1802,2017-05-03,2018-10-15, Info, Major
Scholarship30,1391,2014-02-14,2018-11-04, Info, Major
Scholarship33,2281,2014-04-27,2018-01-19, Info, Major
Scholarship38,2180,2024-02-25,2018-10-28, Info, Major
Scholarship40,876,2024-08-21,2018-01-04, Info, Major
Scholarship48,1786,2021-05-26,2018-04-26, Info, Major
Scholarship51,832,2024-05-05,2018-03-17, Info, Major
Scholarship81,1449,2021-08-02,2018-09-21, Info, Major
Scholarship101,1215,2015-05-08,2018-06-25, Info, Major
Scholarship104,1062,2015-02-07,2018-02-06, Info, Major
Scholarship119,2010,2020-03-11,2018-07-21, Info, Major
Scholarship121,2097,2018-11-24,2018-06-10, Info, Major
Scholarship122,1867,2016-02-04,2018-04-17, Info, Major
Scholarship125,1263,2015-08-15,2018-07-09, Info, Major
Scholarship139,500,2019-11-27,2018-05-11, Info, Major
Scholarship156,1463,2017-10-17,2018-03-20, Info, Major
Scholarship157,980,2017-06-21,2018-02-09, Info, Major
Scholarship158,1446,2024-10-26,2018-07-17, Info, Major
Scholarship177,1562,2023-08-09,2018-09-09, Info, Major
Scholarship180,2408,2020-01-25,2018-02-09, Info, Major
Scholarship181,2471,2020-04-07,2018-09-05, Info, Major
Scholarship189,2494,2020-05-02,2018-07-02, Info, Major
Scholarship197,2304,2015-08-17,2018-07-11, Info, Major
Scholarship203,746,2020-02-23,2018-06-12, Info, Major
Scholarship233,1213,2019-06-15,2018-01-13, Info, Major
Scholarship235,1568,2021-11-12,2018-01-03, Info, Major
Scholarship239,1032,2023-04-08,2018-08-13, Info, Major
Scholarship285,808,2014-09-22,2018-03-19, Info, Major
Scholarship291,2412,2017-08-28,2018-07-27, Info, Major
Scholarship294,1380,2020-01-18,2018-04-22, Info, Major
Scholarship299,2430,2015-07-26,2018-08-26, Info, Major
Scholarship313,1343,2017-12-13,2018-02-06, Info, Major
