Scholarship name, Amount Rewarded, Deadline, Disbursment Date, Required Info, Prefered Major(s)
Scholarship4,1051,2014-02-26,2022-06-22, Essay, Software Engineering
Scholarship6,1603,2017-03-19,2022-12-25, Transcript, Computer Science and Engineering
Scholarship9,1027,2014-06-26,2022-08-07, Transcript, Industrial Engineering
Scholarship10,1629,2021-04-01,2022-06-23, Resume, Computer Science
Scholarship18,527,2022-04-09,2022-07-09, Resume, Software Engineering
Scholarship26,723,2016-09-22,2022-11-17, Resume, Industrial Engineering
Scholarship42,1651,2016-08-22,2022-05-16, Transcript, Systems Engineering
Scholarship44,826,2021-08-17,2022-04-01, Essay, Systems Engineering
Scholarship51,1156,2016-04-17,2022-03-18, Transcript, Industrial Engineering
Scholarship73,1302,2019-12-19,2022-07-04, Essay, Electrical and Computer Engineering
Scholarship77,597,2020-08-03,2022-03-28, Resume, Software Engineering
Scholarship80,807,2014-03-18,2022-02-05, Essay, Computer Science
Scholarship101,2038,2021-05-13,2022-11-07, Transcript, Electrical and Computer Engineering
Scholarship106,1913,2021-02-12,2022-07-05, Resume, Industrial Engineering
Scholarship112,633,2019-08-27,2022-09-06, Essay, Computer Science
Scholarship126,730,2018-09-22,2022-02-07, Resume, Software Engineering
Scholarship127,2215,2019-03-25,2022-03-08, Transcript, Computer Science
Scholarship129,608,2016-04-25,2022-08-04, Transcript, Computer Science and Engineering
Scholarship148,2153,2020-03-22,2022-09-09, Transcript, Software Engineering
Scholarship155,865,2018-01-03,2022-01-18, Essay, Software Engineering
Scholarship158,2221,2014-07-17,2022-11-15, Essay, Computer Science and Engineering
Scholarship160,1540,2015-09-11,2022-09-05, Transcript, Software Engineering
Scholarship162,995,2022-04-21,2022-06-21, Essay, Computer Science and Engineering
Scholarship167,1863,2020-04-13,2022-08-13, Essay, Computer Science and Engineering
Scholarship189,1983,2021-02-06,2022-04-22, Transcript, Electrical and Computer Engineering
Scholarship194,731,2019-06-22,2022-07-25, Essay, Electrical and Computer Engineering
Scholarship197,2107,2018-02-14,2022-09-22, Resume, Computer Science
Scholarship203,841,2022-01-28,2022-07-12, Transcript, Industrial Engineering
Scholarship205,505,2018-03-27,2022-07-04, Transcript, Computer Science
Scholarship206,1593,2017-07-20,2022-05-04, Resume, Electrical and Computer Engineering
Scholarship219,1536,2014-08-06,2022-12-08, Essay, Industrial Engineering
Scholarship222,632,2018-04-04,2022-09-20, Transcript, Systems Engineering
Scholarship228,2374,2021-01-22,2022-01-12, Essay, Computer Science
Scholarship230,1418,2017-02-17,2022-11-11, Essay, Industrial Engineering
Scholarship233,1985,2022-02-15,2022-10-25, Essay, Systems Engineering
Scholarship238,1420,2021-02-03,2022-03-01, Transcript, Computer Science
Scholarship245,775,2022-07-21,2022-11-18, Resume, Electrical and Computer Engineering
Scholarship254,1623,2021-01-16,2022-07-15, Resume, Systems Engineering
Scholarship256,1148,2015-04-03,2022-12-23, Transcript, Electrical and Computer Engineering
Scholarship260,658,2020-03-19,2022-08-11, Resume, Software Engineering
Scholarship267,1860,2018-07-24,2022-03-04, Essay, Software Engineering
Scholarship269,1453,2019-07-12,2022-04-24, Essay, Computer Science
Scholarship270,2419,2020-12-09,2022-09-09, Resume, Software Engineering
Scholarship273,1746,2017-05-14,2022-11-03, Resume, Computer Science and Engineering
Scholarship275,2095,2022-01-16,2022-10-11, Transcript, Computer Science and Engineering
Scholarship277,935,2021-09-20,2022-09-19, Resume, Industrial Engineering
Scholarship278,834,2016-07-26,2022-11-09, Transcript, Computer Science
Scholarship292,1836,2019-06-28,2022-05-18, Essay, Electrical and Computer Engineering
Scholarship294,998,2018-03-16,2022-10-18, Transcript, Computer Science and Engineering
Scholarship295,1029,2016-02-16,2022-11-17, Essay, Systems Engineering
Scholarship297,1718,2016-07-15,2022-11-20, Essay, Computer Science and Engineering
Scholarship298,1486,2019-07-07,2022-04-01, Resume, Electrical and Computer Engineering
Scholarship309,1988,2014-07-16,2022-08-13, Transcript, Computer Science and Engineering
